nazwa_ogloszenia,cena,opis,lokalizacja,zametr,pokoje,powierzchnia,umeblowane,czynsz,rodzaj zabudowy,rynek,piętro,typ,forma wlasnosci,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,ogrzewanie
"1-pokojowe Nyska,Balkon+Garaż Podziemny 540625zł",485 625 zł,"Sprzedam  mieszkanie 27,76 m2. Do Rynku 3,5 km , na strzeżonym osiedlu Innova przy ul. Nyskiej z balkonem 2,06 m2, oraz miejscem postojowym w garażu podziemnym, z windą , klatka schodowa ogrzewana. Mieszkanie jest ładne,  nowoczesne ,funkcjonalne i przede wszystkim ciche, ogrzewanie miejskie. Blisko przystanki tramwajowe i autobusowe, sklepy spożywcze, KFC i Mc Donalds , centra handlowe, kino . Za całość z miejscem parkingowym 540625zł .  Tel. 663-281-700 . Mieszkanie obecnie jest wynajmowane","Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",17 500 zł/m²,,"27,75 m²",,500 zł,,wtórny,2/5,,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie
"Apartament z widokiem na rzekę 75m2, Ks. Witolda",1 875 000 zł,"OFERTA BEZPOŚREDNIO OD WŁAŚCICIELA.
Informacja dla Agentów Nieruchomości - w trosce o Państwa czas chciałabym poinformować, proszę o kontakt jedynie w przypadku, jeśli mają Państwo Klienta zainteresowanego tym mieszkaniem. Z góry dziękuję :)
Na sprzedaż 3-pokojowy apartament (75 m2), zlokalizowany w inwestycji Bulwary Książęce, z widokiem na Odrę.
Bulwary Książęce, położone przy ul. Księcia Witolda, wyróżniają przede wszystkim nowoczesną architekturą oraz zjawiskową elewacją, zdobioną włoskimi panelami ceramicznymi, której wygląd zmienia się pod wpływem światła słonecznego, koloru nieba i nurtu Odry.
Integralną część kompleksu stanowi pasaż usługowo-handlowy. Budynek jest całodobowo chroniony i monitorowany.","Szczepin, Stare Miasto, Wrocław, dolnośląskie",25 000 zł/m²,3,75 m²,,1 000 zł,,wtórny,4/7,,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie
Gotowe| blisko Rynku| zielone osiedle| tramwaj,834 000 zł,"Zapraszam na spotkanie na osiedlu - Kasia tel. 881 474 470
Zakup od dewelopera - kupujący nie płaci prowizji oraz podatku 2% PCC!
Największe atuty inwestycji:
√ liczne tereny rekreacyjne, ścieżki rowerowe
√ dwa parki: Popowicki i Zachodni
√ doskonała komunikacja miejska - nowa linia tramwajowa
√ ładnie zagospodarowane tereny wspólne, liczne nasadzenia roślinności, oczka wodne","Szczepin, Stare Miasto, Wrocław, dolnośląskie",12 069 zł/m²,3,"69,1 m²",,,,pierwotny,parter/9,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,miejskie
Z ogródkiem|zielona okolica|kameralna zabudowa,598 150 zł,"Zapraszam na spotkanie na osiedlu - Ewa tel. 881 474 134
Zakup od dewelopera - kupujący nie płaci prowizji oraz podatku 2% PCC!
Największe atuty inwestycji:
√ kameralne budynki
√ miejsca postojowe oraz komórki lokatorskie
√ tereny rekreacyjne: Park Wschodni, liczne ścieżki spacerowe i rowerowe
zielona okolica






:","Księże, Krzyki, Wrocław, dolnośląskie",13 975 zł/m²,2,"42,8 m²",,,,pierwotny,parter/2,,pełna własność,,balkon,garaż/miejsce parkingowe,
2-pokojowe mieszkanie 48m2 + ogródek,597 830 zł,"2-pokojowe mieszkanie numer B2-K1-0-3 na parterze w budynku B2 w Inwestycji Żerniki Na Novo Dewelopera ATAL
Strefa do jogi oraz przestrzeń dla najmłodszych
Las (20 minut spacerem)
Przystanek tramwajowy i autobusowy (12 minut spacerem)
Lidl (7 minut samochodem), Biedronka (8 minut samochodem)
Port Lotniczy Wrocław (14 minut samochodem)
CH Magnolia Park, Kino Helios (14 minut samochodem)
Tarczyński Arena (6 minut samochodem)





Żerniki, ul. Witolda Lipińskiego/ul. Maxa Berga
Istotne punkty w okolicy inwestycji",,"ul. Konińska, Leśnica, Fabryczna, Wrocław, dolnośląskie",2,"48,73 m²",,,,,parter/4,,pełna własność,do wykończenia,"taras, ogródek",garaż/miejsce parkingowe,
"3Pok+Balkon|Piękne osiedle|Dwustronne|Łaz,Wc",677 800 zł,"Do sprzedaży bardzo ładne,dwustronne mieszkanie 3-pokojowe z balkonem na pięknym, zielonym osiedlu w samym sercu Oporowa.
Oferta bez prowizji, bezpośrednio od dewelopera.
Dostępne różne układy mieszkań na wszystkich piętrach - zadzwoń i umów się prezentację!
Zapewniam pomoc w uzyskaniu kredytu oraz w wykończeniu mieszkania pod klucz.
NIERUCHOMOŚĆ","Oporów, Fabryczna, Wrocław, dolnośląskie",10 759 zł/m²,3,63 m²,,,,pierwotny,1/4,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,miejskie
Promocja!/4 pokoje/2 łazienki/loggia 20m2,1 081 000 zł,"Mieszkanie 4- pokojowe z dużym balkonem/ Dwie łazienki/ Tramwaj / PKP  / Centrum / 
Bez prowizji i bez podatku PCC
Termin oddania: gotowe do odbioru
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu.  Zadzwoń i umów się na spotkanie!
Najważniejsze zalety osiedla:
- zaledwie 3km od wrocławskiego rynku.","ul. Długa, Szczepin, Stare Miasto, Wrocław, dolnośląskie",13 678 zł/m²,4,"79,03 m²",,,,pierwotny,6/6,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
Okazja cenowa/ Duży taras/ Ogród/ 2 pokoje,578 000 zł,"Winda/ Nowoczesne osiedle/ Okazja/ 2 pokoje/ Zielona okolica/ Widok na wewnętrzny zielony dziedziniec/ Możliwość wydzielenia osobnej kuchni
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!
Kupujący nie płaci podatku PCC oraz prowizji.
Największe atuty inwestycji:
- tereny przyrodnicze Natura 2000 tuż za progiem","ul. Świątnicka, Księże, Krzyki, Wrocław, dolnośląskie",11 918 zł/m²,2,"48,5 m²",,,,pierwotny,parter/2,,pełna własność,,"ogródek, taras",garaż/miejsce parkingowe,miejskie
Narożne z dużym tarasem|Opcja osobnej kuchni,691 720 zł,"Nowoczesne osiedle blisko Parku Grabiszyńskiego!
Zapraszam na spotkanie na osiedlu - Ewa tel. 881 474 134
Zakup od dewelopera - kupujący nie płaci prowizji oraz podatku 2% PCC!
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!
Kupujący nie płaci prowizji oraz podatku PCC.
- pełna infrastruktura","Oporów, Fabryczna, Wrocław, dolnośląskie",11 193 zł/m²,3,"61,8 m²",,,,pierwotny,parter/3,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
4-pokojowe mieszkanie z balkonem i ogródkiem,899 000 zł,"Opiekun oferty:
Katarzyna Guła
tel: 602 101 602
Unikatowe mieszkanie z balkonem i ogródkiem do własnej aranżacji.
Zapraszam do kontaktu. W jednym miejscu i w jednym czasie porównamy oferty nieruchomości z ponad siedemdziesięciu wrocławskich inwestycji.
Układ pomieszczeń:
- salon z aneksem - 41.13 m2
- pokój - 12.46 m2
- pokój - 11.13 m2
- pokój - 10,14 m2
- przedpokój - 7.80 m2
- łazienka - 4.36 m2
- WC - 1.47 m2","ul. Odolanowska, Zawidawie, Psie Pole, Wrocław, dolnośląskie",10 159 zł/m²,4,"88,49 m²",,900 zł,,pierwotny,parter/4,,pełna własność,do wykończenia,ogródek,,miejskie
2-pokojowe mieszkanie 44m2 + ogródek Bez Prowizji,566 190 zł,"2-pokojowe mieszkanie numer B4-K1-0-1 na parterze w budynku B4 w Inwestycji Żerniki Na Novo Dewelopera ATAL
Strefa do jogi oraz przestrzeń dla najmłodszych
Las (20 minut spacerem)
Przystanek tramwajowy i autobusowy (12 minut spacerem)
Lidl (7 minut samochodem), Biedronka (8 minut samochodem)
Port Lotniczy Wrocław (14 minut samochodem)
CH Magnolia Park, Kino Helios (14 minut samochodem)
Tarczyński Arena (6 minut samochodem)





Żerniki, ul. Witolda Lipińskiego/ul. Maxa Berga
Istotne punkty w okolicy inwestycji",,"ul. Konińska, Leśnica, Fabryczna, Wrocław, dolnośląskie",2,"44,51 m²",,,,,parter/4,,pełna własność,do wykończenia,"taras, ogródek",garaż/miejsce parkingowe,
Wyjątkowe 2-pokojowe z tarasem i komórką lok.,699 000 zł,Wirtualny spacer,"ul. Jodłowicka, Pracze Odrzańskie, Fabryczna, Wrocław, dolnośląskie",13 855 zł/m²,2,"50,45 m²",,670 zł,,wtórny,parter/3,,pełna własność,do zamieszkania,"ogródek, taras",garaż/miejsce parkingowe,
Gotowe! Śródmieście!Browary Wrocławskie,949 900 zł,"Gotowe / Ogrzewanie miejskie / Winda/ Promocja/ Blisko centrum/ Dobrze skomunikowane
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!
Kupujący nie płaci prowizji oraz podatku PCC.
Największe atuty inwestycji:
- tereny rekreacyjne: Park Stanisława Tołpy, tereny spacerowe wzdłuż Odry","Mosty Warszawskie, Ołbin, Śródmieście, Wrocław, dolnośląskie",12 750 zł/m²,4,"74,5 m²",,,,pierwotny,4/7,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
4-pokojowe mieszkanie 70m2 + balkon,797 678 zł,"4-pokojowe mieszkanie numer B2-K2-3-4 na 3. piętrze w budynku B2 w Inwestycji Żerniki Na Novo Dewelopera ATAL
Strefa do jogi oraz przestrzeń dla najmłodszych
Las (20 minut spacerem)
Przystanek tramwajowy i autobusowy (12 minut spacerem)
Lidl (7 minut samochodem), Biedronka (8 minut samochodem)
Port Lotniczy Wrocław (14 minut samochodem)
CH Magnolia Park, Kino Helios (14 minut samochodem)
Tarczyński Arena (6 minut samochodem)





Żerniki, ul. Witolda Lipińskiego/ul. Maxa Berga
Istotne punkty w okolicy inwestycji",,"ul. Konińska, Leśnica, Fabryczna, Wrocław, dolnośląskie",4,"70,79 m²",,,,,3/4,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,
Garderoba /Gotowe do odbioru / 3 pokoje,694 152 zł,"Balkon / Osobna Garderoba / 3 pokoje
                         Brak Prowizji ! No Commission!
Atutami tego mieszkania zdecydowanie są: świetny rozkład, duży pokój dzienny z aneksem oraz osobna garderoba w głównej sypialni. Znajdujące się na 3 piętrze mieszkanie usytułowane jest od strony północnej dzięki czemu jest bardzo dobrze naświetlone.
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu.  Zadzwoń, zarezerwuj i umów się na spotkanie!","Zawidawie, Psie Pole, Wrocław, dolnośląskie",10 517 zł/m²,3,66 m²,,,,pierwotny,3/4,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
Lipa Piotrowska/ Nowe osiedle/ Duży ogródek/ Rabat,610 000 zł,"Rabat/ Winda/ Nowoczesne osiedle/ Niska zabudowa/ Zielona okolica/ Okna na 3 strony świata/ 3 pokoje/ Ogródek
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!
Kupujący nie płaci podatku PCC oraz prowizji.
Największe atuty inwestycji:
- kameralna niska zabudowa w otoczeniu domów jednorodzinnych, domów w zabudowie szeregowej i bliźniaczej","ul. Lawendowa, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie",11 091 zł/m²,3,55 m²,,,,pierwotny,parter/3,,pełna własność,,"ogródek, taras",garaż/miejsce parkingowe,
"Piękne,kameralne osiedle|Ogród 204m2|Gotowe w 2024",910 000 zł,"Do sprzedaży piękne, przestronne mieszkanie 4 pokojowe z dużym ogrodem  na prestiżowym Ołtaszynie.
Nowa inwestycja na wrocławskim Ołtaszynie to idealna propozycja dla osób, które cenią sobie spokój i znakomitą lokalizację. To kameralne osiedle domów szeregowych i mieszkań z ogrodami lub tarasami – wymarzone miejsce do życia dla par i rodzin z dziećmi.
Przystanek autobusowy przy osiedlu.
Gotowe już w tym roku!
Oferta bez prowizji, bezpośrednio od dewelopera.","ul. gen. Tadeusza Kutrzeby, Ołtaszyn, Krzyki, Wrocław, dolnośląskie",10 964 zł/m²,4,83 m²,,,,pierwotny,parter/2,,pełna własność,do wykończenia,"ogródek, taras",garaż/miejsce parkingowe,kotłownia
Gotowe do odbioru|Duży Balkon od Południa|Narożne,634 000 zł,"Do sprzedaży 3 pokoje z dużym balkonem na zielonym, kameralnym osiedlu na Zakrzowie.
Gotowe do odbioru!
Posiadamy w sprzedaży mieszkania na innych piętrach oraz o różnych układach-zapraszam na spotkanie na osiedlu!
NIERUCHOMOŚĆ:
Jasne, ustawne mieszkanie o powierzchni ok.50m2 m2 usytuowane na drugim piętrze kameralnego budynku wielorodzinnego (ten sam układ jest tez dostępny na wyższych kondygnacjach).","ul. Odolanowska, Zawidawie, Psie Pole, Wrocław, dolnośląskie",12 680 zł/m²,3,50 m²,,,,pierwotny,2/4,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,miejskie
Nowość / Świetna lokalizacja / Gabinet,660 900 zł,"Nowość / Świetna lokalizacja / Gabinet lub większy pokój dzienny
Brak Prowizji No Commission
Mieszkanie o powierzchni 57 metrów kwadratowych na Wrocławskich Krzykach to przytulne i komfortowe miejsce do zamieszkania. Położone w jednej z najbardziej atrakcyjnych dzielnic Wrocławia, to miejsce może być doskonałym wyborem dla singla, pary lub małej rodziny.
Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń, zarezerwuj i umów się na spotkanie!","Grabiszynek, Fabryczna, Wrocław, dolnośląskie",11 595 zł/m²,3,57 m²,,,,pierwotny,3/4,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
M 3pok z ogródkiem 64m^ Legnicka FABRYCZNA,890 000 zł,"Na sprzedaż trzypokojowe mieszkanie we Wrocławiu w inwestycji PIXEL HOUSE naprzeciwko Galerii Magnolia. Mieszkanie o powierzchni 64,34 m2 mieści się na 2 piętrze w budynku z roku 2017. Mieszkanie składa się z:
  - pokoju dziennego 16m2
- sypialni głównej o pow. 14,3 m2,
- sypialni o pow. 11,2 m2,
- kuchni o pow. 10,35 m2","ul. Legnicka, Popowice Północne, Fabryczna, Wrocław, dolnośląskie",13 833 zł/m²,3,"64,34 m²",,,,wtórny,parter,,,do zamieszkania,"balkon, ogródek, taras",garaż/miejsce parkingowe,miejskie
3M w Sercu Wrocławia,1 149 000 zł,Film,"pl. św. Mikołaja, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",16 183 zł/m²,3,71 m²,,900 zł,,wtórny,6/6,,pełna własność,do zamieszkania,,,miejskie
Gotowe ustawne 2 pokoje w centrum! Widok na zieleń,763 192 zł,"Wyjątkowa inwestycja / Duże przeszklenia / Centrum / Blisko rzeki / Różne metraże / Dobra komunikacja
Posiadamy w sprzedaży mieszkania na różnych piętrach oraz w różnych metrażach zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!
Brak podatku PCC oraz brak prowizji.
Największe atuty inwestycji:
Mieszkańcy będą mogli skorzystać za darmo z wielu udogodnień jakie pojawią się na osiedlu. Bliskość supermarketów, sklepów usługowych oraz Centrum Handlowego sprawia, że jest to bardzo komfortowa lokalizacja do życia. Komunikacja miejska zapewni szybki i sprawny dojazd do pożądanej lokalizacji w całym Wrocławiu.","ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie",15 200 zł/m²,2,"50,21 m²",,400 zł,,pierwotny,3/7,,,,balkon,garaż/miejsce parkingowe,
Ogromny Balkon / Centrum / Inwestycyjne,557 620 zł,"Duży Balkon / Centrum / Inwestycyjnie
Brak Prowizji No Commission

Ten apartament został stworzony z myślą o dostarczeniu nie tylko wyjątkowego miejsca do zamieszkania, ale także doskonałej inwestycji na przyszłość. Jednym z największych atutów tego apartamentu jest jego usytuowanie. Idealny do celów mieszkaniowych dla singla lub pod wynajem inwestycyjnie
Umów się na spotkanie i zarezerwuj ten wyjątkowy apartament. Posiadam w sprzedaży mieszkania na różnych piętrach oraz w różnym metrażu zarówno na tej inwestycji jak i w całym Wrocławiu. Zadzwoń i umów się na spotkanie!","Szczepin, Stare Miasto, Wrocław, dolnośląskie",17 158 zł/m²,,"32,5 m²",,,,pierwotny,4/9,,pełna własność,,balkon,garaż/miejsce parkingowe,miejskie
Duże mieszkanie z dwoma balkonami w centrum,969 000 zł,"Opiekun oferty:
Bartosz Wasielewski
tel: 602 101 602
Otoczenie nieruchomości:
Inwestycję zlokalizowaną na Wrocławskim Szczepinie cechuje bardzo dobry dojazd do centrum miasta jak i bliskość terenów zielonych.
Inwestycja znajduję się w odległości około 2 kilometrów od Wrocławskiego Rynku oraz około 1.5 kilometra od Stacji PKP Wrocław Mikołajów.
Układ nieruchomości:
- salon z aneksem - 22.39 m2
- sypialnia - 9. 56 m2
- sypialnia - 9.94 m2
- sypialnia - 11.45 m2
- przedpokój - 13.10 m2
- łazienka - 4. 82 m2
- toaleta - 2.89 m2","ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie",13 068 zł/m²,4,"74,15 m²",,750 zł,,pierwotny,1/9,,pełna własność,do wykończenia,balkon,,miejskie
Dwustronne Co Miejskie Winda Balkon Siłownia Park,748 400 zł,"☛ 0% PROWIZJI BEZ PODATKU 2 PCC
Oporów Nowe Osiedle
☛ Pełna Infrastruktura Dobra Lokata
☛ Winda Balkon Strefy Zieleni
☛ Blisko Park Tereny Rekreacyjne
☛ Klub Fitness dla Mieszkańców","Oporów, Fabryczna, Wrocław, dolnośląskie",11 639 zł/m²,4,"64,3 m²",,,,pierwotny,1/4,,,,,,
