nazwa_ogloszenia,link,cena,opis,lokalizacja,pokoje,stan wykonczenia,miejsce parkingowe,powierzchnia,balkon,taras,piętro,rok budowy
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stronska-64m2-mzn2043186855,890 000 zł,"Wrocław Gaj, ul. Strońska.
OBNIŻKA CENY!
Sprzedaż bezpośrednia od właściciela – nie płacisz prowizji pośrednikowi.
Trzypokojowe mieszkanie - idealne dla rodziny lub jako inwestycja - na ostatnim 6 piętrze (winda od poziomu -1), w budynku z 2009 r., dwustronne - z ekspozycją okien północ-południe, z dwóch stron duże balkony, ogrodzone osiedle z ochroną 24/7, media miejskie.
Funkcjonalne 3 pokoje (w tym jeden z aneksem kuchennym), łazienka z toaletą, osobne wc, 2 balkony, komórka lokatorska, miejsce postojowe naziemne na terenie osiedla z uwzględnieniem potrzeb osoby niepełnosprawnej – powiększone.
Miejsce postojowe dodatkowo płatne 30.000,00zł
Komórka lokatorska 10.000,00zł
Zakup obligatoryjny
Pełny rozkład pomieszczeń: salon z aneksem kuchennym - 23,3m2, sypialnia 1 – 13,3m2, sypialnia 2 – 12,5m2, przedpokój – 9,8m2, łazienka – 3,9m2, wc – 1,4m2, dwa balkony – 6,9m2 i 6,6m2. Wysokość pomieszczeń 2,55m.
Powierzchnia mieszkalna - 64,20m2, komórka lokatorska – 3,8m2.
Mieszkanie jest gotowe do zamieszkania, bardzo dobrze doinwestowane, m.in. w moskitiery okienne ramkowe w oknach, a w drzwiach balkonowych – plisowane – rozsuwane; rolety z powłoką termoizolacyjną pomiędzy warstwami, zaciemniające - góra-dół we wszystkich pokojach plus dodatkowo w sypialniach rolety w kolorach.
Drzwi wejściowe antywłamaniowe, wewnętrzne drewniane Porta.
Sprzęty AGD w mieszkaniu, w tym zmywarka, piekarnik, płyta indukcyjna są sprawne i najwyżej 3-letnie, renomowanych firm – Bosch, Elektrolux, Gorenje, Samsung. Szafy w przedpokoju i pokoju oraz zabudowa kuchenna - robione pod wymiar.
Mieszkanie przestronne, jasne i funkcjonalne, bardzo zadbane, a dzięki swojemu położeniu na ostatnim piętrze i dwóm balkonom - kameralne.
W najbliższym sąsiedztwie znajdują się m.in.: centrum handlowe Ferio Gaj z licznymi sklepami, punktami usługowymi, restauracjami, piekarnią; apteka; punkty gastronomiczne; banki; przystanki tramwajowy - pętla i autobusowe, a także stacja PKP Wrocław Wojszyce. Okolica jest bardzo dobrze skomunikowana. Niedaleko również: Uniwersytet Medyczny oraz Szpital Kliniczny przy ul. Borowskiej; Uniwersytet Ekonomiczny; 3 szkoły podstawowe, przedszkola i żłobki; tereny rekreacyjne: Park Zielony Gaj, przez który przebiega trasa rowerowo-piesza Promenada Krzycka, Park Skowroni, Wzgórze Gajowe.
Przedstawiona oferta ma charakter wyłącznie informacyjny, nie stanowi informacji handlowej w rozumieniu art. 66 § 1 Kodeksu Cywilnego.
Zdjęcia oraz opis poniższej oferty są własnością prywatną bez prawa do kopiowania i używania przez osoby trzecie.
Pośredników proszę o kontakt tylko z zainteresowanym klientem.
Kontakt przez SMS możliwy codziennie.
Zainteresowanych zakupem zapraszam na prezentację na żywo.
Kontakt:
Magdalena M
608... pokaż
ramzes.79@
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)",Strońska,3,,,"64,20 m²",,,6/6,2008
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-slezna-118-41m2-mzn2043070500,,"Ślężna Vita

Najważniejsze atuty

✅ Starannie przemyślane, funkcjonalne rozkłady mieszkań","Krzyki,",2,,,"41,67 m²",,,4/7,2025
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-slezna-118-40m2-mzn2042976615,,"Ślężna Vita

Najważniejsze atuty

✅ Starannie przemyślane, funkcjonalne rozkłady mieszkań","Krzyki,",2,,,"40,23 m²",,,4/7,2025
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-dmowskiego-13-43m2-mzn2041112028,,"Atmo
Najważniejsze atuty
✅ Przemyślane rozkłady lokali gwarantujące szerokie możliwości aranżacji","Śródmieście,",2,,,"43,47 m²",,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-28m2-mzn2043178280,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",1,,,"28,46 m²",,,,2024
Mieszkanie na sprzedaz,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-welniana-28m2-mzn2043203963,399 000 zł,"Oferta dodana za pomocą MULTIPORTALU B e b r o k e r . pl
Kawalerka 27,31 z osobna kuchnia ,mozliwosc przerobienia na pokoj,balkon 4,2.Mieszkanie jest wykonczone,czesciowo umeblowane.Cena 399000 do negocjacji.
:79... pokaż","Fabryczna,",1,,,28 m²,Tak,,1/6,2020
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-obornicka-54m2-mzn2043231434,570 000 zł,"Oferta bezpośrednia.
Telefon: PL+48... pokaż
CENA - 570.000 zł, powierzchnia 53,90 mkw, 1 piętro z 11
KLIMATYZACJA / ROWEROWNIA / Z PARKINGIEM
Poszukujesz mieszkania dla siebie w świetnej lokalizacji?
A być może interesuje Cię zainwestowanie w mieszkanie po wynajem?
Idealnie trafiłaś/eś!
Mieszkanie jest dwustronne, rozkładowe mieszkanie o powierzchni 53,90 mkw, z balkonem 2mkw, piwnicą, I piętro, blok z 1981.
Nieruchomość składa się z 3 pokoi, osobnej kuchni, łazienki z kabiną prysznicową, osobne WC z umywalką, korytarza.
- KLIMATYZACJA RONSON
- niski czynsz 650zł
- piwnica oraz ½ komórki lokatorskiej
- rowerownia
- ogrodzone miejsce parkingowe.
Lokal znajduje się blisko terenów rekreacyjnych, tereny do biegania, jazdy na rowerze nad Odrą.
W sąsiedztwie liczne markety, szkoła podstawowa, przedszkole, restauracje, pizzerie, drogeria Rossman, apteki, przychodnie, żabka
Lokalizacja spacerem:
1 minuta – sklepy, apteka
2 minuty - siłownia
4 minuty – przystanek
10 minut – Rynek – autem
Z mieszkania sprawnie można się dostać:
• Obwodnica śródmiejska – 5 min
• na obwodnicę autostradową – 7 min
-A8 w kierunku Łodzi i Warszawy
-S5 w kierunku Poznania
Ogrzewanie miejskie, nieruchomość bez obciążeń.
Współpracuję z Biurami Nieruchomości
!!!! Pomagamy w uzyskaniu kredytu !!!!!
Zapraszam serdecznie na prezentację mieszkania i złożenia oferty zakupu!
Magdalena Wesoła+48... pokaż
Magdalena Liberek- Barcikowska+48... pokaż
modenawroclaw@gmail.com
MODENA Biuro Nieruchomości
ul.Zimowa nr 36 lok.2
51-180 Szymanów
NIP895... pokaż
INFORMACJE O MIESZKANIU:
Miejsce parkingowe 15 zł/miesiąc
II wejścia – jedno z domofonem
Winda, 3 mieszkania na piętrze
Drzwi RT 6
Wysokość 2,50; bez boazerii 2,48
Szafy w korytarzu
Klimatyzacja 3 letnia, serwisowana co roku
Uszczelki wymienione w oknach – drewniane Urzędowski trzyszybowe – 10 lat
Termoizolacja – mieszkanie bardzo ciepłe
Piony i częściowo elektryka wymieniona
Podłoga mozaika bez łazienki i kuchni
Spokojne sąsiedztwo
Internet światłowód
Oferta dodana z serwisu multiporta.","Wrocław-Psie Pole,",3,,,54 m²,Tak,,1/11,1981
Wrocław Olimpia Port ostatni etap - 2 pokoje - bezpośrednio,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-vespucciego-38m2-mzn2043152740,756 200 zł,"OGŁOSZENIE BEZPOŚREDNIE - BEZ PROWIZJI
Na sprzedaż jedno z najbardziej atrakcyjnych mieszkań na osiedlu.
38 m2, 2-pokojowe na II piętrze w ostatnim etapie osiedla Olimpia Port przy ul. Ameriga Vespucciego 46.
Na sprzedaż także takie same mieszkanie na I piętrze.
Stan mieszkania - do wykończenia:
- ściany pomalowane na biało
- instalacja do klimatyzacji z wyprowadzeniem na dach budynku.
Orientacja budynku południowo-wschodnia. Rzadko spotykane mieszkanie z widokiem na las (bez widoku na inne budynki).
Miejsce postojowe naziemne 25 000 zł.
Zapraszam do kontaktu.
Ogłoszenie dodane do 100 portali nieruchomości przez portal www.odwlasciciela.pl","Psie Pole,",2,,,38 m²,Tak,,2/3,
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-28m2-mzn2043178196,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",1,,,"28,14 m²",,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-33m2-mzn2043185873,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",1,,,33 m²,,,,2025
Konkurs ofert - udział 4/16 w prawie do lokalu,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-wlodzimierza-majakowskiego-51m2-mzn2043233307,92 000 zł,"SYNDYK MASY UPADŁOŚCI ELŻBIETY PRZYGODZKIEJ SPRZEDA Z WOLNEJ RĘKI UDZIAŁY W WYSOKOŚCI 4/16 W SPÓŁDZIELCZYM WŁASNOŚCIOWYM PRAWIE DO LOKALU MIESZKALNEGO POŁOŻONEGO WE WROCŁAWIU PRZY UL. WŁODZIMIERZA MAJAKOWSKIEGO 6, LOK. NR. 5
Syndyk masy upadłości Elżbiety Przygodzkiej działając na podstawie postanowienia Sądu Rejonowego dla Wrocławia-Fabrycznej we Wrocławiu, Wydział VIII Gospodarczy ds. upadłościowych i restrukturyzacyjnych z dnia 14 grudnia 2021 r. sygn. akt VIII GUp 42/20 sprzeda z wolnej ręki udziały w wysokości 4/16 w spółdzielczym własnościowym prawie do lokalu mieszkalnego we Wrocławiu przy ulicy Włodzimierza Majakowskiego Polskiego 6, lok. nr 5
za cenę nie niższą niż 92 000 złotych (dziewięćdziesiąt dwa tysiące złotych)
Powierzchnia użytkowa lokalu: 51,93 m² Piętro: drugie.
Lokal składa się z 3 pokoi, kuchni przedpokoju i łazienki z wc.
Celem przystąpienia do konkursu ofert należy:
1. złożyć ofertę zakupu na piśmie w zaklejonej kopercie z opisem „VIII GUp 42/20 - nie otwierać, oferta przetargowa w postępowaniu upadłościowym Elżbiety Przygodzkiej” na adres Syndyk Krzysztof Biegan ul. Piastów Śl. 36b/3 55-011 Siechnice do dnia 30 stycznia 2024 roku (decyduje fizyczny wpływ oferty, oferty dostarczane osobiście jedynie po telefonicznym umówieniu terminu przekazania), oferty złożone po terminie nie będą rozpatrywane,
2. oferta powinna zawierać dane osobowe oraz adresowe nabywcy wraz nr telefonu do kontaktu,
3. wpłacić wadium w wysokości 10% wartości, tj. 9 200 zł (dziewięć tysięcy dwieście złotych) do dn. 29.01.2024 r. na konto masy upadłości nr 08 1020 4900 0000 8902 3061 2525 w banku PKO BP S.A.
4. otwarcie i rozpoznanie ofert nastąpi w dniu 31 stycznia 2024 r. w Kancelarii Adwokackiej ul. Stawowa 1/2, 50-018 Wrocław.
5. o wyniku konkursu ofert syndyk poinformuje uczestników konkursu w terminie 7 dni telefonicznie lub pisemnie (decyduje data stempla pocztowego),
6. termin zawarcia umowy sprzedaży w formie aktu notarialnego ze zwycięzcą konkursu ofert: 60 dni od dnia rozstrzygnięcia konkursu w miejscu i w terminie wskazanym przez syndyka,
7. wadium wpłacone przez uczestnika, który wygra konkurs zaliczone będzie na poczet ceny sprzedaży,
8. wadium wpłacone przez pozostałych uczestników konkursu zostanie niezwłocznie zwrócone po zakończeniu konkursu,
9. wadium przepadnie na rzecz masy upadłości w razie uchylenia się, bądź odstąpienia uczestnika, który wygrał konkurs, od zawarcia umowy sprzedaży w formie aktu notarialnego w miejscu i terminie wyznaczonym przez syndyka,
10. cena sprzedaży udziału pomniejszona o wpłacone wadium powinna być wpłacona przez zwycięzcę konkursu ofert i zaksięgowana na wyżej wskazanym rachunku bankowym masy upadłości najpóźniej dzień przed wyznaczonym dniem zawarcia umowy u notariusza,
11. oferta, ani żadne oświadczenie nie może być złożona pod warunkiem,
12. kryterium wyboru oferty będzie najwyższa zaoferowana cena,
13. wszelkie koszty umowy sprzedaży ponosi kupujący.
14. Współwłaściciele udziałów w spółdzielczym, własnościowym prawie do lokalu, posiadają prawo pierwokupu przed innymi kupującymi. Uprawnienie to wynika z Ustawy o spółdzielniach mieszkaniowych (art. 17².6)
Operat szacunkowy sporządzony przez rzeczoznawcę majątkowego Wojciecha Rogowskiego oraz szczegółowe warunki sprzedaży w trybie z wolnej ręki po wcześniejszym kontakcie mogą zostać udostępnione w formie e-mail.
Nr tel. kom. Syndyka600... pokaż. Adres poczty krzysztof.biegan@wp.pl
Kontakt:
Syndyk Krzysztof Biegan
600... pokaż
krzysztof.biegan@wp.pl
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)",Włodzimierza Majakowskiego,3,,,"51,93 m²",,,,
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-38m2-mzn2042572822,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych

Osiedle Harmonia w skrócie
Inwestycja składająca się z trzech niskich budynków utrzymanych w spokojnym stylu. Znajdą się w nich 173 mieszkania w najbardziej poszukiwanych metrażach: od 1- do 5-pokojowych. Przeważać będą wśród nich 2- i 3-pokojowe lokale z dużymi oknami, przestronnymi balkonami i przydomowymi ogródkami na parterze. W hali podziemnej zaplanowany został garaż, w którym znajdzie się 191 miejsc postojowych, komórki lokatorskie i boksy na rowery. Części wspólne zostaną obsadzone atrakcyjnie zaaranżowaną zielenią, z ogrodami kwiatowymi, krzakami i drzewami, zachęcającymi do wypoczynku i relaksu. Znajdzie się tu również plac zabaw dla dzieci.

Osiedle Harmonia – lokalizacja
Osiedle znajduje się w jednej z najbardziej zielonych części Wrocławia – Maślicach. To miejsce w bezpośredniej bliskości zieleni, a zarazem świetnie skomunikowane z centrum i otoczone pełną infrastrukturą miejską. Nieopodal znajduje się także stadion Tarczyński Arena.

Tereny zielone
W sąsiedztwie inwestycji znajdują się liczne tereny zielone i rekreacyjne, m.in. Park Maślicki (1,5 km), Park Stabłowicki (2,3 km), Las Pilczycki (5,3 km), Las Rędziński (13,5 km), liczne ścieżki rowerowe i trasy spacerowe wzdłuż Odry, jeziora i kąpieliska, m.in. Kąpielisko Glinianki (4,3 km) i Wake Park oraz Kąpielisko Królewieckie (350 m).

Sklepy, punkty usługowe i gastronomiczne
W odległości 240 metrów znajduje się Biedronka, 400 m – Rossman i Action, 350 m – Bricomarche. W pobliżu znajdują się także: KFC (270 m), pizzeria Ciasto Impasto (240 m) i przychodnia weterynaryjna (350 m). O 300 m oddalone jest centrum handlowe N-Park, a o 2,1 km - Pasaż Królewiecki.

Komunikacja i transport publiczny
Tuż obok inwestycji znajduje się przystanek autobusowy Brodzka, z którego kursują linie: 102, 103 i 245. Dzięki trasie A8 i bliskości mostu Rędzińskiego możliwy jest szybki dojazd do centrum oraz wyjazd poza miasto.

Edukacja
O 500 metrów oddalone jest Przedszkole Domino, a o 850 – Oddział Integracyjny. W odległości 650 metrów znajduje się Szkoła Podstawowa, a 900 m – Zespół Szkolno-Przedszkolny nr 12. O 4,2 km oddalone jest Liceum Ogólnokształcące nr VI im. Bolesława Prusa.

Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności dostępne są u dewelopera. Prosimy o kontakt poprzez formularz.","Maślice,",2,,,"38,15 m²",Tak,,,2024
