nazwa,cena,zametr,lokalizacja,powierzchnia,pokoje,pietro,czynsz,forma wlasnosci,stanwykonczenia,balkon/ogrod/taras,miejsce parkingowe,ogrzewanie,opis
3 pok. | Balkon | 2022r - Jagodno !,670 000 zł,13 958 zł/m²,"Jagodno, Krzyki, Wrocław, dolnośląskie",48 m²,3,3/3,500 zł,pełna własność,do wykończenia,balkon,,miejskie,"Mam przyjemność zaoferować Państwu przytulne i zadbane 3 pokojowe mieszkanie z balkonem o powierzchni ok. 48 m2 na 3 piętrze 3 piętrowego budynku z windą 2022 r. Krzyki, Jagodno, w okolicy ul. Kopycińskiego
- 1,2 km Zespół Szkolno-Przedszkolny nr 25
Lokal składa się z:
- pokoju dziennego z aneksem kuchennym
- sypialni
- sypialni
- łazienki z wc z wanną i parawanem nawannowym
- przedpokoju z miejscem na szafę
- balkonu
W budynku znajduje się wózkownia/rowerownia.
Do mieszkania przynależy miejsce postojowe w garażu [podziemnym płatne dodatkowo 45 000 zł (zakup obligatoryjny).
Spokojna i cicha okolica.
Budynek docieplony, klatka schodowa czysta i zadbana z domofonem.
Cichobieżna winda.
Światłowód.
Osiedle z placem zabaw i dużą ilością zieleni. Zielony dziedziniec z miejscem na rekreację.
Drzwi antywłamaniowe, parapety z konglomeratu, ściany pomalowane na biało.
Mieszkanie gotowe do umeblowania, wykończone rzetelnie w wysokiej jakości markowych materiałach firm m.in. Porta (drzwi), Roca, Grohe, Cersanit, Paradyż. Na prace wykończeniowe 2 lata gwarancji,

* Smart Dom Silver w pakiecie do mieszkania wraz z montażem (w cenie) - technologia kontroli zdalnej oświetlenia, ogrzewania, multimediami i ochroną za pomocą urządzeń mobilnych służąca do optymalizacji kosztów utrzymania nieruchomości (pozwalająca obniżyć obciążenia na rachunkach za prąd i ogrzewanie nawet do 30%) oraz zwiększająca bezpieczeństwo (monitoring).
Mieszkanie jasne i ciepłe, z ekspozycją słoneczną na południowo-zachodnią stronę.
Media miejskie !
Czynsz: 500 zł (fundusz remontowy, śmieci, administracja, sprzątanie, części wspólne).
Okolica:
Lokalizacja daje możliwość aktywnego spędzania czasu, w pobliżu liczne ścieżki rowerowe i spacerowe.
Jedno z ciekawszych osiedli na Jagodnie, duży wybór usług na terenie osiedla, plac zabaw dla najmłodszych, rowerownia, klub malucha i sala fitness dla mieszańców osiedla.
Gorąco polecam, zapraszam do kontaktu
CENA: 670 000 zł
Ewelina Otawa
Pośrednik w obrocie nieruchomościami lic. zaw. nr 22791
tel. 666- 660- 478
nr oferty: POTR-MS-166
email:
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię.
*Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie.
_
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji."
Mieszkanie z ogródkiem 92mkw w Siechnicach!,760 000 zł,9 157 zł/m²,"ul. Kalinowa, Siechnice, Siechnice, wrocławski, dolnośląskie",83 m²,4,parter/1,,pełna własność,do wykończenia,ogródek,garaż/miejsce parkingowe,inne,"Mateusz  797 231 735
""Apartament Nieruchomości""

OSTATNIE WOLNE MIESZKANIA Z III ETAPU

Dzień Dobry!

Mam do zaoferowania Państwu 4 pokojowe mieszkanie z ogrodem w Siechnicach w bliskiej odległości od Wrocławia. Bezpośredni i szybki dojazd komunikacją miejską do Wrocławia.

Dla zmotoryzowanych dogodny dojazd do Autostrady A4.

Nieruchomość w stanie deweloperskim. Mieszkanie według planu składa się z:
Parter:
-salon z aneksem kuchennym o powierzchni odpowiednio 31,18mkw,
-łazienka o powierzchni odpowiednio 4,62mkw,
-wiatrołap o powierzchni odpowiednio 5,67mkw.

Piętro:
-trzy sypialnie o powierzchni odpowiednio 12,60mkw, 9,49mkw oraz 8,33kw,
-łazienka o powierzchni odpowiednio 5,26mkw.
Poddasze o powierzchni 40mkw liczonej po podłodze i 20mkw po wysokości 2,5m.(w cenie montaż schodów z parteru na poddasze).

Niewątpliwym atutem nieruchomości jest ogród o powierzchni 92mkw!

Dla osób posiadających samochód w inwestycji będą dostępne miejsca postojowe w cenie lokalu.

Walory inwestycji:
-wentylacja mechaniczna z rekuperacją firmy Vaillant,
-instalacja fotowoltaiczna monokrystaliczna firmy Vaillant,
-ogrzewanie podłogowe wodne na całej powierzchni lokalu,
-składane schody na poddasze.

Dla osób posiadających samochód w inwestycji będą dostępne miejsca postojowe w cenie lokalu.

ZAKUP BEZPOŚREDNIO OD DEWELOPERA!

Mieszkanie w stanie deweloperskim do własnego wykończenia i umeblowania.

Serdecznie polecam i zapraszam Państwa na prezentacje!

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
"Mieszkanie 2 Pokojowe Z Antresolą, Fabryczna",680 894 zł,9 794 zł/m²,"ul. Michała Wołodyjowskiego, Maślice, Fabryczna, Wrocław, dolnośląskie","69,52 m²",2,2/2,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,inne,"NIERUCHOMOŚCI APARTAMENT
Julia Kosmala
Tel:797 231 625

BEZ PROWIZJI, BEZ PCC !!!

Oferta przedstawia nieruchomość o pow. 69,5m2, znajdującą się w spokojnej i cichej okolicy, w dobrej lokalizacji. Mieszkanie położone jest w nowym budynku wielorodzinnym, na II piętrze. Nieruchomość posiada salon z aneksem kuchennym, sypialnię, antresolę, funkcjonalną łazienkę, garderobę, balkon, loggie.
Inwestycja  zostanie oddana do użytku w II kwartale 2024


Na powierzchnię nieruchomości składa się:
- salon z aneksem kuchennym                                  21,52 m2
- łazienka                                                                     5,98 m2
- sypialnia                                                                  10,07 m2
- garderoba                                                                 3,14 m2
- antresola                                                                 28,81 m2
- balkon                                                                       4,50 m2
- loggia                                                                         7,16 m2

                                                                      ŁĄCZNIE :   81,18 m2


 
W niedalekiej okolicy:
- Market budowlany                                                          50 m
- Biedronka                                                                          50 m
- Przystanek                                                                        100 m
- Centrum                                                                      10000 m
- Inne:
          przedszkole, restauracje, studio urody          do 1000m



       W budynku dostępne będą miejsca parkingowe podziemne. Budynek znajduje się na osiedlu zamkniętym i posiada monitoring.
 

W ofercie znajdują się mieszkania w metrażu od 41,69 m2 do 95,85 m2.
Zainteresowanych innym metrażem zapraszam do kontaktu.

Bezpłatna pomoc w uzyskaniu kredytu !

NIERUCHOMOŚCI APARTAMENT
Julia Kosmala
Tel:797 231 625

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
3pok/Taras/Balkon/Umeblowanie/2013 r. !,800 000 zł,11 429 zł/m²,"3 pok.| 2 balkon | Klimatyzacja | 2013 r., Bielany Wrocławskie, Kobierzyce, wrocławski, dolnośląskie",70 m²,3,1/2,500 zł,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,gazowe,"Mam przyjemność zaprezentować Państwu 3-pokojowe mieszkanie z 2 balkonami o powierzchni użytkowej 69,68 m2 na 1 piętrze 2 piętrowego budynku z 2013 r. w znakomitej lokalizacji Bielany Wrocławskie w okolicy ulicy Ogrodowej.
- 3 km od granic Wrocławia
Mieszkanie składa się z:
- przestronnego salonu (ok.19 m2) z aneksem kuchennym (ok.9 m2) z wyjściem na balkon
- pokoju z szafą na wymiar z wyjściem na balkon (ok.12 m2)
- pokoju z szafą wymiar(ok.12 m2)
- łazienki z WC (ok. 7 m2)
- przedpokoju z zabudowaną szafą na wymiar (ok. 11 m2)
- 2 balkonów
Informacje szczegółowe:
- Mieszkanie słoneczne, ciepłe, dwustronne - ekspozycja: północ-południe
- We wszystkich oknach są wewnętrzne roletki
- Mieszkanie klimatyzowane, odświeżone, wykończone w bardzo wysokim standardzie
- Mieszkanie w pełni wyposażone. Zabudowane pojemne szafy, zarówno w pokojach jak i w przedpokoju.
- Kuchnia wysokiej jakości mebli, wyposażona w markowy sprzęt.
- Łazienka z brodzikiem, z meblami do przechowywania zarówno pod umywalką, jak i na przybory toaletowe oraz pralkę.
Do mieszkania przynależą:
Dwa prywatne miejsca parkingowe oraz komórka lokatorska (ok. 5 m2) dodatkowo płatne 50 000 zł (zakup obligatoryjny)
Istnieje możliwość zakupu zamykanego garażu - 60 000 zł.
Kameralny budynek z placem zabaw i dużą ilością zieleni.
Kuchnia umeblowana i wyposażona w sprzęt AGD.
Czynsz: 700 zł/ przy 2 os. (administracja, fundusz remontowy, garaż, woda, ogrzewanie, części wspólne, sprzątanie, śmieci). Lokalna kotłownia gazowa.
Pełna własność z księgą wieczystą.
LOKALIZACJA:
W niewielkiej odległości znajduje się Zamek Topacz, centrum sportowo-rekreacyjne Matchpoint, basen Ślęza, Tor Wyścigów Konnych, teatr, centrum handlowe Bielany, sklep Żabka, Biedronka, Netto, Szkoła Podstawowa, przedszkole, żłobek, przychodnia.
KOMUNIKACJA:
Dobre i szybkie połączenie komunikacyjne miejskie MPK i gminne autobusy (linia 612)
Pociąg (10 min do centrum Wrocławia). Dobra komunikacja autem w każdym kierunku Wrocławia.
Bezpośrednio Węzeł Bielański – wjazd na A4 i Obwodnicę Wrocławską i S8
CENA: 800 000 zł
Gorąco polecam, zapraszam do kontaktu.
Grzegorz Poter
Agent Nieruchomości
tel. 666- 660- 970
email:
nr oferty: POTR-MS-171
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię.
* Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie.
_
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji.
Dbając o bezpieczeństwo naszych klientów, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie. Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze.
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Ewelina (licencja nr: 22791)"
Od zaraz 2M + kuchnia z możliwością 3M | balkon,649 000 zł,12 245 zł/m²,"Tarnogaj, Krzyki, Wrocław, dolnośląskie",53 m²,3,2/4,,,,balkon,,miejskie,"Przedstawiam Państwu na sprzedaż nieruchomość zlokalizowaną na Gaju przy ul. Radkowskiej !
Duży balkon! Ogrzewanie miejskie! Dwustronny układ!
Na łączną powierzchnię 53,08 m2 składają się:
salon (23,80 m2)
kuchnia (9,35 m2)
sypialnia (9,31 m2)
łazienka (4,50 m2)
przedpokój (6,12 m2)"
3 pok.| Balkon | 2009r. - ok. Partynic !,695 000 zł,10 373 zł/m²,"Wysoka, Kobierzyce, wrocławski, dolnośląskie",67 m²,3,2/2,700 zł,pełna własność,,balkon,garaż/miejsce parkingowe,,"Mam Państwu do zaoferowania dwupoziomowe, umeblowane 3 pokojowe mieszkanie z balkonem
o powierzchni  użytkowej 62,75 m2 (pow. całkowita ok. 67 m2) na 2 piętrze 2 piętrowego budynku z 2009 r.  w miejscowości Wysoka, w pobliżu Ołtaszyna/Partynic, w okolicy ul. Radosnej.
- 200 m   Tor Wyścigów Konnych i przystanek autobusowy
- 500 m   Zespół szkolno-przedszkolny i żłobek
- 700 m   granica Wrocławia
- 1,8 km  Centrum sportowe Match Point
- 2,5 km  Park Kleciński i Zamek Topacz
- 2,8 km  Park Południowy
- 3,5 km  Basen Centrum Ślęza
I POZIOM
- salon z aneksem kuchennym, z wydzieloną częścią jadalnianą
- przedpokój
- WC
- balkon
II POZIOM
- przestronny pokój z pojemną szafą
- pokój
- holl z biblioteczką
- łazienka z WC i wanną
W budynku ogólnodostępna rowerownia/wózkownia.
Mieszkanie  umeblowane i wyposażone w sprzęt AGD, gotowe do wprowadzenia od zaraz !
Klimatyzacja.
Istnieje możliwość zakupu miejsca postojowego w garażu podziemnym dodatkowo płatne 25 000 zł.
Mieszkanie znajduje się na prestiżowym, ogrodzonym, monitorowanym i osiedlu z placem zabaw.
Parking dla mieszkańców na terenie nieruchomości.
Klatka schodowa czysta i zadbana, z domofonem.
Dookoła dużo zieleni, tereny spacerowe, ścieżki rowerowe, liczne sklepy i restauracje przy ul. Zwycięskiej.
Wysoki standard, w pełni wyposażone, urządzone z najwyższej jakości materiałów - schody z egzotycznego drewna merbau, klimatyzowane pomieszczenia, zainstalowany alarm, w łazience ekskluzywne kafle i armatura Villeroy & Boch, na górnym poziomie w przedpokoju projektowana na zamówienie biblioteczka.
Mieszkanie dwustronne, jasne z ekspozycją słoneczną na wschodnio i zachodnią stronę.
Czynsz: ok. 700 zł/ przy 3os. (ogrzewanie, woda, śmieci, administracja, części wspólne, sprzątanie, fundusz remontowy). Lokalna kotłownia gazowa.
Pełna własność z księgą wieczystą.
Okolica:
Wysoka, to prężnie rozwijająca się część gminy Kobierzyce.
W pobliżu nowy Kompleks Szkolno-Przedszkolny, żłobek, przystanek autobusowy, sklep Centrum Delikatesy, sklep Biedronka, Żabka, paczkomat, restauracja ,,Miło Mi,, piekarnia, sklep NETTO.
Poza tym w okolicy mieści się przychodnia NFZ, gabinety lekarskie, apteki, siłownie, salony fryzjerskie.
Niedaleko Wysokiej położone są Bielany Wrocławskie - centra handlowe, Ikea.
  Dobrze skomunikowana z pozostałą częścią Wrocławia - autobusy 112, 612, 113, 127,  913, nocny.
Szybki dojazd do AOW oraz autostrady A4.
    Cena: 695 000 zł   do negocjacji !
Zapraszam do kontaktu.
Grzegorz Poter
Agent Nieruchomości
tel. 666- 660- 970
nr oferty: POTR-MS-140
email:
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię.
* Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie. _
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji. Dbając o bezpieczeństwo naszych klientów, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie."
Kawalerka premium z widokiem na rzekę - Zadzwoń!,655 000 zł,23 393 zł/m²,"ul. gen. Władysława Sikorskiego, Szczepin, Stare Miasto, Wrocław, dolnośląskie",28 m²,,5/23,400 zł,pełna własność,do wykończenia,balkon,,miejskie,"Opiekun oferty:
Jakub Kruszyński
tel. 602101602
Premium kawalerka w inwestycji Quorum z widokiem na rzekę w samym centrum miasta.
Układ pomieszczeń:
- Salon z aneksem kuchennym - 21,76 m
- Przedpokój - 2,71 m2
- Łazienka - 3,48 m
- Balkon - 5,19 m2
Najważniejsze informacje:
- Widok na rzekę
- Brak podatku PCC
- Kupno na zasadach cesji umowy deweloperskiej
- Usługi w parterze
- Klimatyzacja
- Monitoring części wspólnych
- Ekskluzywne lobby z recepcją
- Duże przeszklenia, panoramiczne widoki
- Prestiżowa inwestycja
Otoczenie nieruchomości:
Inwestycja znajduje się nieopodal Wrocławskiego Rynku, z widokiem na rzekę. Blisko tereny spacerowe oraz przystanki komunikacji miejskiej.
Rekomendacja Eksperta SDP Nieruchomości:
Tę nieruchomość polecam singlom lub parom, chcącym zamieszkać w prestiżowej lokalizacji z pełną infrastrukturą, która jest doskonale skomunikowana z centrum miasta. Mieszkanie nada się również pod inwestycję pod najem krótkoterminowy
Niedostateczne środki? To nie problem!
Pomagamy w uzyskaniu finansowania na tę i inne nieruchomości. Zadzwoń i zapytaj o szczegóły.
Zapraszam na prezentację
Jakub Kruszyński
tel. 602 101 602"
3-pokojowe mieszkanie 71 m. kw. z tarasem,632 879 zł,8 900 zł/m²,"ul. Gimnazjalna, Siechnice, Siechnice, wrocławski, dolnośląskie","71,11 m²",3,3/3,,pełna własność,do zamieszkania,taras,,miejskie,"""Nieruchomości Apartament""
 Marianna Fedorenko
 Tel.: 578 199 800


Opis nieruchomości:

Kompleks Novoforma powstaje na wydzielonym obszarze, z pełną, nowoczesną infrastrukturą w dynamicznie rozwijającym się mieście Siechnice.  Usytuowany w ścisłym centrum, przy Rynku z reprezentacyjnym ratuszem, a jednocześnie w otoczeniu parków i terenów sportowo-rekreacyjnych.

Nieruchomość składa się:

1. Pokój dzienny 23,13 mkw.
2. Kuchnia 3,60 mkw.
3. Łazienka 4,44 mkw.
4. Przedpokój 3,29 mkw.
5. Taras 4,46 mkw.
6. Antresola 18,96 mkw.

Udogodnienia: Winda, bliskość terenów wypoczynkowych i rekreacyjnych.
Bezpieczeństwo: Domofon.
Deweloper przewidział również komórki lokatorskie.
Wielkość Projektu: Inwestycja składa się z 1 budynku wielorodzinnego, w którym znajduje się około 59 lokali mieszkalnych.
Garaże: W inwestycji będą dostępne miejsca postojowe.
Komunikacja: Dojazd drogą DK94.
Odległość od Centrum: 300 metrów Siechnice, 11,5 km - Wrocław.



Zapraszam do kontaktu:
Marianna Fedorenko
Tel.: 578 199 800

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
"Stylowe mieszkanie z balkonem, 3 pokoje, Poświętne",870 000 zł,15 263 zł/m²,"ul. Adama Jerzego Czartoryskiego, Poświętne, Psie Pole, Wrocław, dolnośląskie",57 m²,3,5/5,600 zł,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie,Plan zagospodarowania
Jagodno/Lux/3Pok./Garaż/Taras 52m/2 łazienki,1 038 180 zł,13 000 zł/m²,"Edmunda Kajdasza, Jagodno, Krzyki, Wrocław, dolnośląskie","79,86 m²",3,2/2,"780,43 zł",pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,miejskie,"JAGODNO * UL.KAJDASZA * 3/4 POKOJE 80M * TARAS 51M
Polecam do kupna nowoczesne , słoneczne mieszkanie , dwupoziomowe o powierzchni 79,86m w nowym budynku z 2020 r przy ul. Kajdasza .
Do mieszkania przynależy piękny , duży Taras na dachu o powierzchni 51,19m od strony Zachodniej oraz balkon 6,70m.
Salon z aneksem kuchennym , 2/3 sypialnie , 2 łazienki , pralnia , garderoba.
IDEALNE MIESZKANIE DLA RODZINY !!!
Nieruchomość zaprojektowana przez architekta , wykończona w wysokiej klasy materiałów .
Mieszkanie dwustronne z wystawą okien zachodnio - wschodnią , na podłogach deska drewniana .
Na piętrze zainstalowana klimatyzacja .
Media miejskie , okna plastikowe .
Specyfikacja pomieszczeń
Pierwszy poziom :
- dwie sypialnie 8,65m +12m
- pralnia z oknem - pokój ( możliwość zrobienia gabinetu )5,26 m
- łazienka z wanną
- garderoba
- balkon
Drugi poziom :
- przestronny salon z aneksem kuchennym 28 m
- łazienka z kabina prysznicową 3,73m
- taras 51,19m
CENA : 1 038 180 zł
* czynsz administracyjny wraz z funduszem remontowym 780,43 zł
* do mieszkania przynależą 2 miejsca parkingowe zależne , zakup obligatoryjny w cenie 39 000 zł
Lokalizacja :
Jagodno / ul. Kajdasza ( inwestycja Ronson Dewelopment)
W okolicy liczne przedszkola ,żłobki , szkoły , Centra Handlowe, Przychodnie , usługi , Restauracje , Ferio Gaj.
Dla maluchów wiele atrakcji , liczne ścieżki rowerowe i spacerowe .
Komunikacja PKP , autobus , obwodnica wschodnia Wrocławia .
Idealny dojazd do centrum Wrocławia .
Klucze w biurze .
ZAPRASZAM NA PREZENTACJĘ  BN Patrycja Batijewska tel.: 609 711 605
*Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego oraz innych właściwych przepisów prawnych.
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
REZERWACJA!3M | Duży taras na najwyższym piętrze!,749 999 zł,9 615 zł/m²,"Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie",78 m²,3,2/2,,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,kotłownia,"Przedstawiam Państwu na sprzedaż dwupoziomowe mieszkanie z dużym tarasem oraz balkonem zlokalizowane na Muchoborze Wielkim! Wysoki standard! Najwyższe piętro.
Na łączną powierzchnię 78,00 m2 składają się: 
I Poziom:
salon z aneksem kuchennym,
łazienka,
przedpokój,
balkon"
2M możliwość 3M | CENTRUM | świetna lokalizacja,499 000 zł,9 463 zł/m²,"Szczytniki, Śródmieście, Wrocław, dolnośląskie","52,73 m²",2,parter/4,450 zł,pełna własność,do remontu,,,miejskie,"Przedstawiam Państwu 2-pokojowe mieszkanie w ŚWIETNEJ LOKALIZACJI – Wrocław Nadodrze!
Mieszkanie mieści się na wysokim parterze pięciokondygnacyjnego budynku. W 2003 roku wymieniono instalację bezpośrednio pod ogrzewanie, które znajduję się w mieszkaniu – grzejniki podczerwieni na sufitach.
2M Z POTENCJAŁEM NA 3M!
Na łączną powierzchnię 52,73 m2 składają się:
·        pokój
·        pokój z antresolą"
2M + balkon | NOWE | dla klientów gotówkowych,399 999 zł,14 286 zł/m²,"Szczepin, Stare Miasto, Wrocław, dolnośląskie",28 m²,2,6/13,,pełna własność,do zamieszkania,balkon,,miejskie,"Przedstawiam Państwu na sprzedaż NOWY, INWESTYCYJNY LOKAL MIESZKALNY!
Nieruchomość znajduję się w budynku B Urban.
Wrocław Fabryczna - 15 min komunikacją do centrum!
Lokal zlokalizowany na 6 piętrze 14-kondygnacyjnego budynku z windą z 2022 roku. Idealny pod wynajem! Nowoczesny design, piękny wystrój wnętrz.
Powierzchnia użytkowa wynosi 27-28 m2 i obejmuję:
·        salon z aneksem kuchennym"
"Tylko U Nas/ 2 pokoje z ogrodem o pow.1 132,5 m2",300 000 zł,3 597 zł/m²,"ul. Chobieńska, Leśnica, Fabryczna, Wrocław, dolnośląskie","83,4 m²",2,parter/1,100 zł,pełna własność,do remontu,ogródek,,inne,"Nieruchomości Apartament
Jan Kawiak
☎ 720 860 700

Oferta skierowana do osób chcących mieszkać we Wrocławiu, a jednocześnie kochających dziką przyrodę,
spokój oraz niczym niezmąconą ciszę.


Nieruchomość dostępna wyłącznie w biurze ""Nieruchomości Apartament""


Na sprzedaż mieszkanie w budynku czterorodzinnym z cegły.

Metraż użytkowy mieszkania to 83,4m2, na który składają się :
przedpokój, łazienka, kuchnia i dwa pokoje. Do mieszkania przynależy także piwnica o pow. 30,70m2.

Pomieszczenia są duże i przestronne.

Budynek położony jest w bardzo bliskim sąsiedztwie lasu, a cała działka na której znajduje się nieruchomość to  ponad 1200 m2 . Udział w gruncie oferowanego mieszkania to 3343/10000 część.
Do mieszkania przynależy ogród o pow. 1 132,5m2.
Do posesji prowadzi droga wewnętrzna.

Mieszkanie wraz z zadaszeniem do generalnego remontu.
Lokal jest uprzątnięty przez co rozpoczęcie remontu mieszkania możliwe jest zaraz po dokonaniu formalności notarialnych.
Mieszkanie posiada księgę wieczystą, nie jest obciążone hipoteką i od strony prawnej jest gotowe do sprzedaży.

Polecam i zapraszam do kontaktu
Opiekun oferty/Jan Kawiak
☎ 720 860 700


 
 

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
